Name,"General Info (biography, description, etc)",Date of Creation,Date of closing,Place
Makerere University,,,,Kampala
University of Nairobi,,,,Nairobi
East African Institute for Social and Cultural Affairs,,,,Nairobi
Inter-territorial Language (Swahili) committee,,,,
Paa ya Paa Gallery,,,,Nairobi
Chemchemi Cultural Centre,,,,Nairobi
East African Literature Bureau,,,,
East Africa Academy,,,,
University of Delhi,,,,India
East African Publishing House,,,,Nairobi
Uganda Publishing House,,,,Kampala
Kenya Federation of Labour,,,,Nairobi
CIA,,,,