Person,Institution,"Type of relationship (professor, director, etc)",Time (discrete or interval),Brief note
Bethwell Ogot,Makerere University,Lecturer in History Department,,Friend of Tom Mboya
Bethwell Ogot,University of Nairobi,Head of History Department,,
Bethwell Ogot,East African Institute for Social and Cultural Affairs,,,
Sam Ntiro ,"East Africa High Commission, London",High commissioner ,early 60s,
Shaaban Robert,Inter-territorial Language (Swahili) committee,,,
Thomas Marealle,United Nations Food and Agriculture Organzation,,1960s,
Elimo Njau,Paa ya Paa Gallery,Founder,1965,
Rebecca Njau,Makerere University,Student,,
Rebecca Njau,Paa ya Paa Gallery,,,
Elvania Namukwaya Zirimu,Makerere University,Student,1960s,
Micere Mugo,Makerere University,Student,1961-1964,
Rebecca Mulira,East African Institute for Social and Cultural Affairs,Speaker,February 1964,
Rose Mbowa,Makerere University,Student,1960s,
Noah Sempira,East African Literature Bureau,Director,,
Reuben Olembo,East African Academy,,,
Reuben Olembo,Makerere University,,,
Wilbert Chagula,East African Academy,President,1963-1977,
Sayed Abidi,East African School of Librarianship,Director,,
Sayed Abidi,Makerere University,,,
Taban lo Liyong,University of Nairobi,Lecturer,,
Kirunda Kivejinja,University of Delhi,,,
Kirunda Kivejinja,Uganda Publishing House,,,
Kirunda Kivejinja,Milton Obote Foundation,,,
Ngũgĩ wa Thiong'o,Makerere University,Student,1960-1963,
Ngũgĩ wa Thiong'o,University of Nairobi,Lecturer,1967-1977,
Charity Waciuma,East African Publishing House,Published by EAPH,1969,Author of Daughter of Mumbi
Philip Ndegwa,East African Publishing House,Published by EAPH,,Author of The Common Market and Development in East Africa
Philip Ndegwa,Ministry of Economic Development and Planning,Worked for Tom Mboya,,
Philip Ndegwa,Makerere University,Academic,,
Colin Legum,East African Publishing House,Published by EAPH,,Author of Pan Africanism and Nationalism; Ghost writer for Tom Mboya's Freedom and After; East Africa correspondent for The Observer
E.S. Atieno Odhiambo,University of Nairobi,Academic,,
Terry Hirst,Paa ya Paa Gallery,,,Journalist & academic
Ezekiel Mphalele,Chemchemi Cultural Centre,,,Writer
Ezekiel Mphalele,Congress for Cultural Freedom,,,
Ezekiel Mphalele,CIA,,,
Pamela Mboya,Makerere University,Student,,
Grace Ogot,East African Publishing House,Published by EAPH,,
Clement Lubembe,Kenya Federation of Labour,,,
Yash Ghai,University of Dar es Salaam,Academic,,
Richard Garver,CIA,Officer,,Former tutor of Odinge Odera
Richard Garver,East African Institute for Social and Cultural Affairs,,,
Peter Anyang-Nyongo,Makerere University,Student,,
Lennard Okola,East African Publishing House,Deputy Director,,
Lennard Okola,Makerere University,Student,,
Charles Granston Richards,East African Literature Bureau,Director,,
J.P. Oyende,East African Literature Bureau,Published by EALB,1951,Author of Chifu hodari wa Kiafrika / The ideal African chief
A. McPhee,East African Literature Bureau,,,Editor of Tunuulira
Mr. J.S. Kasirye,East African Literature Bureau,Luganda translator,1956,
J. Johnston,East African Literature Bureau,Deputy Director,1954,
David Rubadiri,Makerere University,Student; lecturer,,